RUT;DV;NOMBRES;PATERNO;MATERNO;NAC_DIA;NAC_MES;NAC_ANHO;DIRECCION;NRO;COMUNA;HABILITADO_SUFRAGAR;ES_VOCAL_MESA;NRO_MESA
16471324;5;Maria Francisca;Castro;Molina;20;8;1989;UMBRAL;1959;PEÑALOLEN;1;1;3
21030806;7;Michel Andres;Rodriguez;Gómez;27;3;2003;EL QUILLAY;2417;LA PINTANA;1;0;7
19730245;3;Victor Manuel;Ruíz;Soto;3;2;2002;RAUL OLIVARES;3808;RENCA;1;0;7
15942174;0;Gabriela Paz;Sepúlveda;Ypinza;27;7;1990;ESMERALDA;8539;PEÑALOLEN;1;0;14
16769294;k;Camilo Domingo;Alvarez;Rodriguez;18;4;1989;PJE. VEINTICINCO;413;LO ESPEJO;1;0;7
21844850;k;Cinthya Verónica;Muñoz;Reinoso;15;4;1998;ANDES;6715;SANTIAGO;1;0;2
20286374;4;Karina Andrea;Rivas;Muñoz;3;2;2006;MAMA KRISTINA;9089;CERRO NAVIA;1;0;13
20818506;3;Geobana Karina;Pinto;Contreras;30;6;2005;GENERAL BLANCHE;6511;LAS CONDES;1;1;3
19133549;k;Paulina Antonia;Masserano;Jorquera;30;9;1991;RIO ACONCAGUA;7353;LA GRANJA;1;0;12
17740697;k;Naissy Alenuk;Lecaros;Brevis;24;1;1986;EL EBANO;4417;QUILICURA;0;0;2
18338330;2;Pamela Andrea;Yima;Inostroza;1;6;1989;SAN PEDRO NOLASCO;3598;SAN BERNARDO;1;0;7
17009672;k;Paola José;Duarte;Marambio;5;1;2005;AV. CRISTOBAL COLON;7509;LAS CONDES;1;0;13
17699434;7;Benjamín Alejandro Quiroga;Flores;Rivera;26;4;2001;REY DON FELIPE;9206;LA PINTANA;1;0;9
15337811;8;Fabrizio Salvatore;González;Meneses;25;6;1988;JOSE MANUEL BALMACEDA;2091;LA PINTANA;1;1;9
16739113;3;Carolina Andrea;Monardes;Troncoso;5;10;1990;VICTORIA;6784;MAIPU;1;0;6
21198762;6;Patricia Gabriela;Maggi;Araneda;12;11;1994;MARIA AUXILIADORA;8034;SAN MIGUEL;1;0;6
17546116;7;Isidora Catalina;Barrios;Lillo;31;7;1980;FREIRE;3638;SAN BERNARDO;1;0;5
20446517;7;Karen Nicole;Tapia;Karing;23;5;1988;AV. CENTRAL CARDENAL RAUL SILVA HENRIQUEZ;8682;PEDRO AGUIRRE CERDA;1;0;10
21745908;7;Nicolas Alberto;Castañeda;Aedo;1;12;1988;TENIENTE CRUZ;5742;CERRO NAVIA;0;0;15
20242579;8;Mario Anthony;Guajardo;Abarzúa;28;6;2002;AV. PEDRO AGUIRRE CERDA;2209;CERRILLOS;1;1;5
17248819;6;Jenifer Kristina;Verdaguer;Arías;2;12;1989;LOS MANUTARAS;8499;PUDAHUEL;1;0;8
18358352;2;Ignacia Antonia;Brunner;González;5;4;1991;CARLOS ANTUNEZ;1700;PROVIDENCIA;1;0;6
16408256;3;Karina Alejandra;Fuentes;Castillo;16;2;1987;COOPERACION;8439;PEDRO AGUIRRE CERDA;1;0;3
20640830;8;Jorge Andres;Pinto;Vargas;10;10;1990;ESTADIO DE QUILICURA;9559;QUILICURA;0;0;11
22547071;5;Mario Andrés;Becerra;Andrade;17;6;1986;SIERRA BELLA;2767;SANTIAGO;1;0;13
22693199;6;Alejandra Andrea;Paillalef;Fernández;15;9;1996;BURGOS;9090;QUILICURA;1;0;7
19184457;4;Javiera Viviana;Salgado;Gajardo;16;7;2005;COLO COLO;1086;CERRILLOS;1;0;1
17598197;7;Benjamín Ignacio;Marchant;Constancio;9;11;1997;NUEVA IMPERIAL;1536;QUINTA NORMAL;1;0;1
20592507;4;Camila Ignacia;Tapia;Echevarria;16;11;2004;PARQUE CENTRAL PONIENTE;3382;MAIPU;1;0;11
17005737;6;Angelo Rodrigo;Novoa;Segura;3;2;1995;LA VALLEJA;5859;RECOLETA;1;0;1
19289093;4;Benjamin Andrés;Araneda;Benucci;4;7;1987;AURORA DE CHILE;4292;INDEPENDENCIA;0;0;15
19573165;9;Capucine de la Cruz;Astorga;Morales;14;12;1990;PRESIDENTE KENNEDY;697;VITACURA;0;0;5
19673435;k;Kissy Andrea;Torres;Víllablanca;8;9;2001;SIMON BOLIVAR;9627;MAIPU;1;0;10
20226730;0;Martina Antonella;Pérez;Valdés;23;10;1993;AV. VITACURA;3118;VITACURA;1;0;8
21010192;6;Nicolás Antonio;Zapata;Santibañez;20;9;2002;TEHUACO;6957;ESTACION CENTRAL;1;0;6
21157877;7;Javiera Carolina;Avello;Palma;6;11;1984;AV.;2116;ESTACION CENTRAL;1;0;10
18021620;0;Tamara Vanessa;Pino;Karing;30;4;1990;AV. SANTA ROSA;7327;SAN MIGUEL;1;0;1
17612773;2;Sebastián Ignacio;Nordetti;Lucero;9;1;1986;SANTO TOMAS;1537;LA GRANJA;1;0;7
20455317;3;Thómas Enrique;Caceres;González;27;8;2003;LA PRIMAVERA;2263;CERRILLOS;1;1;14
20708163;9;Nicolás Antonio;Gomez;Arce;27;9;1989;ANTARTICA;903;ESTACION CENTRAL;1;0;12
20452615;k;Jose Luis Alejandro;Ordenes;Pérez;22;10;1988;FELIX MARGOZ;2573;CERRILLOS;1;0;4
18478971;k;Javiera Belén;Peña;Yañez;6;9;1990;LOS TEHUELCHES;9156;HUECHURABA;1;0;11
16657382;3;Javiera Paz;Vergara;Tapia;20;11;1990;LOS LAGOS;8029;PEÑALOLEN;1;0;8
16954486;7;María Angélica;San Martín;Acevedo;10;5;1988;MAR DE CHILE;4879;CERRO NAVIA;1;0;15
19381268;6;Marjorie Carolina;Meneses;Ruiz;21;9;2006;BELLAVISTA;6748;RECOLETA;1;0;6
19184350;9;Isidora Fernanda;Veas;Vergara;11;6;1992;EL BOSQUE;1160;LA PINTANA;1;0;8
17740328;8;Catalina Maria;Ortega;Barrios;6;2;1999;ESPERANZA;2683;SANTIAGO;1;0;1
18171315;1;Diego Andrés;Durán;Aguilar;3;3;1987;AV. VICUÑA MACKENNA FRENTE AL;8342;LA FLORIDA;1;0;7
21876536;k;Edison Vladimir;Perez;Gonzalez;14;7;1988;SAN PABLO;6939;SANTIAGO;1;0;1
17676143;1;Jeremy Amaro Tupac;Iribarra;Sandoval;7;1;2004;LOS TILOS;3011;CERRILLOS;1;0;14
18061866;k;Beltrán Pedro;Zurita;Villarroel;17;7;1995;CIUDAD DE MEXICO;6652;CERRILLOS;1;0;2
22371635;0;Fabrizio Andres;Valenzuela;Huerta;21;4;1997;CHILLAN;7749;RENCA;1;0;3
21997194;k;Carlos Felipe;Ramirez;Saavedra;13;3;1991;BALMACEDA;3082;RENCA;1;0;12
9477961;8;Emilia Daniela;Mora;Menjibar;21;1;1999;EL MIRADOR;8254;CERRILLOS;1;1;13
18993488;2;Patricia Daniela;Andres;Ahusanague;15;10;1996;LAS MARGARITAS;3959;RENCA;1;0;6
16451906;6;Josefa;Rodriguez;Hernández;20;3;1998;OCHO DE ENERO;5375;ESTACION CENTRAL;1;0;14
19153328;3;William Franco;Cocona;Lagos;17;7;1987;BOLIVIA;972;SAN RAMON;1;0;12
18393926;2;Stephania Francisca;Campos;Miranda;16;7;2001;HISTORIADOR JAIME EYZAGUIRRE;998;MACUL;1;0;9
16303288;0;Yocelyn Andrea;Trapen;Vega;30;8;2003;BOYERO;2919;LO ESPEJO;0;0;2
20466932;5;Fernanda Isabella;Henríquez;Fuenzalida;11;4;2000;REAL AUDENCIA;6312;CERRILLOS;1;1;2
22437322;8;Tahys Elleyn;Zurita;Bustos;28;3;1986;EL MIRADOR;9013;CERRILLOS;1;0;12
18904445;3;Carlos Felipe;Andrade;Molina;19;7;1988;CIRCUNVALACION SUR;8111;LO BARNECHEA;1;0;6
22592336;1;Camila Victoria;González;Cerda;11;5;1994;3 SUR;3746;LO ESPEJO;1;0;3
18168408;9;Claudio Germán;Corvalán;Castillo;1;11;1997;RAUL FUICA;9650;PEDRO AGUIRRE CERDA;1;0;7
21005904;0;Dayana;Arias;Poblete;14;3;1988;VALENZUELA LLANOS;6431;PEDRO AGUIRRE CERDA;1;0;1
20453115;3;Carolina Andrea;Espinoza;Banía;20;4;1996;NAVIDAD;5861;PEDRO AGUIRRE CERDA;1;0;3
18569055;5;Fabiola Catalina;Casanova;Ferrada;2;12;2006;SANTA ISABEL;6490;SANTIAGO;0;0;11
17419687;7;Diego Andrés;Dif;Jorquera;3;1;1998;RIVERA;6604;INDEPENDENCIA;1;0;7
20828666;8;Jazmin Sonia;Vivanco;Roumat;18;7;1981;JOSE MIGUEL INFANTE;8618;RENCA;1;0;5
16698297;7;Daniela Paz;Okima;Donoso;23;1;1984;HEROE JUAN BENITO JOFRE;6730;RECOLETA;1;0;10
19224970;8;Juan Carlos;Riquelme;Inostroza;2;9;1989;BENITO REBOLLEDO;2781;MACUL;1;0;8
17317694;5;Diego Andrés;Amigo;Morales;4;4;1994;AV. LOS CERRILLOS;1100;PEDRO AGUIRRE CERDA;1;0;3
18481779;9;Yerko Mauricio;Alvíal;Migueles;24;1;2007;CELANOVA;2891;LA PINTANA;1;0;8
21906040;8;Carola Francisca;Silva;Sánchez;24;12;1998;DOCTOR AMADOR NEGHME;9808;MACUL;1;0;9
20283631;3;Nicolas Andres;Valdes;Cáceres;21;9;2002;JOSE JOAQUIN AGUIRRE LUCO;2115;HUECHURABA;1;0;10
20452955;8;Sergio Antonio;Salazar;Jeria;9;4;2007;BUZETA;528;CERRILLOS;1;0;13
27251367;8;Manuel Facundo;Avila;Espinoza;10;2;1994;SANTA ROSA;6049;SAN RAMON;1;0;13
15823967;1;Francisca Inés;Bauzá;Sánchez;17;4;2003;AV. JOSE PEDRO ALESSANDRI;8073;MACUL;1;0;13
19643445;3;Valeria Paz;Chacón;Cubillos;12;3;2002;VICUNA MACKENNA;5276;SAN JOAQUIN;1;0;1
16163579;0;José Ignacio;Leiva;Núñez;25;9;1989;HUASCO;9564;LO ESPEJO;1;0;14
17384030;6;Javier Alejandro;Vilches;Campos;19;1;1992;DEL PARQUE;3949;ESTACION CENTRAL;1;0;1
19974125;k;Diego Ignacio;Jaramillo;Vera;18;6;1990;ISABEL BRAVO;3038;LA PINTANA;1;0;4
16323262;6;Lorna Paola;Castillo;Salinas;16;4;2004;PADRE VICENTE IRARRAZABAL;6560;ESTACION CENTRAL;1;0;5
20221419;3;Valeska Yohanna;Lepre;Barahona;12;10;1986;SANTA FE;2234;SAN MIGUEL;1;0;2
20165486;6;Mauricio Cristobal;Vidal;Sandoval;16;2;2004;QUINCHAMALI;923;LA REINA;1;0;4
18122242;5;Carolina Alejandra;Casanova;Berrios;7;3;1988;3 ORIENTE;1035;PEDRO AGUIRRE CERDA;1;0;2
21140320;9;Juan Pablo;Troncoso;Osorio;21;7;1991;LOS CARACOLES;3377;LA REINA;1;0;8
20073772;5;Julio Felipe;Lobos;Madariaga;3;3;1985;AV. MAQUINISTA GENTOSO;1065;ESTACION CENTRAL;1;0;1
21954789;7;Luis Alejandro;Vallejos;Rivas;31;1;1994;DIAGONAL SUR ORIENTE;1682;LA GRANJA;1;0;2
16695769;0;Sofia Cathalina;Durán;Llanes;8;2;1985;PJE. SANTA RITA;8518;LO BARNECHEA;1;1;5
16385515;1;Nicole Belén;Vasquez;Díaz;4;3;1994;DOMINGO SANTA CRUZ;844;LA PINTANA;1;0;5
18833127;0;Tiare Francisca;Straub;Miralles;7;7;1988;CELANOVA;4273;LA PINTANA;1;0;9
19603661;5;Danka Vania;Herrera;Palta;31;1;2007;GOLFO TRINIDAD;2453;LA PINTANA;1;0;12
19024471;7;Carlos Ignacio;Tobar;Valdes;22;2;2009;ARTEMIO GUTIERREZ;6660;SAN JOAQUIN;1;0;3
22388686;8;Vanessa Andrea;Coñuehñir;Vallejos;3;4;1990;LAS PETUNIAS;7123;HUECHURABA;1;0;5
19287949;3;Alvaro Matías;Cucumides;Monsalve;2;12;1999;AV. TOME;4376;LA GRANJA;1;0;5
21005316;6;Jaime Javier;Panguilef;Muñoz;19;5;1981;ALMIRANTE LATORRE;6690;LA PINTANA;1;0;11
17100271;0;Carolina ANDREA;-;Rojas;23;9;1987;5 DE ABRIL;1436;CERRILLOS;1;0;5
16658597;k;Yasma Fabiola;Rodríguez;Flores;26;1;1995;TEMISTOCLES;9314;LO ESPEJO;1;1;6
22115659;5;Ivan Ignacio;Torres;Abear;15;3;1988;PJE. PEGASO;9329;LO ESPEJO;1;0;9
20452503;k;Daniela Alejandra;Salas;Lazón;27;11;1988;LUIS CARRERA FRENTE AL;698;VITACURA;1;0;6
16698784;9;Cristian Andrés;Yañez;Valladares;11;1;2000;EL CARMELO;8608;ESTACION CENTRAL;1;0;7
20227952;k;Fernando Feliciano;Barahona;Osorio;9;2;2004;CLOTARIO BLEST;3186;LO ESPEJO;1;0;14
20048097;k;María José;Román;Gfue;9;2;2001;SAN FRANCISCO;7114;LA PINTANA;1;0;13
20432005;5;Roberts Matias;Vivanco;Mardones;18;1;1997;BALDOMERO LILLO;2523;LA PINTANA;1;0;14
17928931;8;Valentina Anais;Duncos;Duarte;20;1;2005;VALENZUELA LLANOS;9636;LA REINA;1;0;6
17002450;8;Ricardo Andrés;Sanz;Riverso;7;2;1984;GABRIELA MISTRAL;8730;LO PRADO;0;0;15
22554457;3;Juan Antonio;Lobos;Oyarzún;2;2;1992;AV.CENTRAL CARDENAL SILVA HENRIQUEZ;9805;PEDRO AGUIRRE CERDA;1;0;8
20654138;5;Romina Belén;Gonzalez;Maige;4;8;1994;GRAN AVENIDA;7540;SAN MIGUEL;1;0;3
22306119;2;Valeska Andrea;Rivera;Cuadra;8;6;1983;MANUEL RODRIGUEZ;6258;ESTACION CENTRAL;1;0;14
21734751;3;Nicolás Alejandro;González;Caceres;25;5;2001;DARWIN;1921;SAN JOAQUIN;1;0;15
19993689;1;Diego Alonso;Eguia;Moreno;23;5;1981;CAMINO CIRCUNVALACION NORTE;5510;LO BARNECHEA;1;0;15
20538021;3;Cristian Patricio Esteban;Queglas;González;2;8;2001;LAS VERBENAS;4546;LA GRANJA;1;0;9
20062453;k;Rocío Natalia;Ramirez;López;7;3;1990;LOS APOSTOLES;9838;MACUL;1;0;1
20427016;3;Ignacio Antonío;Castillo;Caddeo;6;6;1997;LO ERRAZURIZ;5365;CERRILLOS;1;0;15
21500321;3;Andrea de los Angeles;Farias;Pezoa;14;7;2007;LA BANDERA;7316;SAN RAMON;1;0;4
22715523;k;Joaquín Arturo;Leyton;Meza;8;6;1998;GENERAL ARRIAGADA;1495;LA PINTANA;1;0;9
20974327;2;Oscar Andres;Rojo;Cabrera;6;6;1994;LAS CONDES;1494;LO BARNECHEA;1;0;8
21243702;6;Diego Luciano;Garcia;Riquelme;22;11;2000;EL OMBU;1768;LA PINTANA;1;0;8
22202166;9;Camila Victoria;Yañez;Calfuqueo;3;9;1994;PEDRO AGUIRRE CERDA;5588;HUECHURABA;1;0;12
16471141;2;Mario Mauricio;Henríquez;Aedo;26;5;1986;CAPITAN GALVEZ;8504;ESTACION CENTRAL;1;0;2
22156431;6;Diego Alonso;Urra;Vergara;12;1;1987;LOS MARROQUINEROS;6981;PEÑALOLEN;1;0;3
17834859;0;Luís Alejandro;Castro;Cubillos;25;11;2016;PJE. DURANGO;827;CONCHALI;0;0;10
16371057;9;Catalina Polett;Sáez;Ureta;13;10;1999;LOS CEREZOS;2059;PEÑALOLEN;1;0;10
17421473;5;Claudia Samira;Moreno;Ross;21;10;1992;ICTINOS;9502;PEÑALOLEN;1;1;5
18956493;7;José Luis;Gutierrez;Pombett;21;11;1983;AV. LOS ZAPADORES;2298;CONCHALI;1;1;9
22009022;1;Mauricio Estéban;Faundez;Galaz;28;10;2004;AV. APOQUINDO;1436;LAS CONDES;1;0;7
19741924;5;Bruno Nicolas;Alarcon;Silva;7;7;2005;AV. INDEPENDENCIA;3680;CONCHALI;1;1;10
17440786;k;Jenniffer Pollette;Meruane;Sanchez;16;9;1998;AV. CONSISTORIAL;1157;PEÑALOLEN;1;0;9
20637056;4;Francisco Javier;Troncoso;Venegas;31;7;1987;STA. INES;5088;CONCHALI;1;0;5
15930332;2;Gonzalo Enrique;Avendaño;Fuentealba;13;4;2005;AV. CORONEL ALEJANDRO SEPULVEDA;3069;PEÑALOLEN;1;1;10
18662396;7;Leslie Anne;González;Hernández;20;2;2001;AV. CRISTOBAL COLON;9994;LAS CONDES;1;0;4
13830163;k;Bruno Alejandro;Martínez;Toro;27;5;2002;LOS BAQUEANOS;9628;PEÑALOLEN;1;0;1
21234971;2;Miguel Angel;Acuña;Moraga;21;9;2000;LAS PARCELAS;2590;PEÑALOLEN;1;0;2
21497979;9;Celso Luís;Toro;Meza;6;5;1999;LOS ORIENTALES;5698;PEÑALOLEN;0;0;7
19904061;8;Alvaro Alejandro;Bustamante;Yañez;15;9;1970;BARON DE JURAS REALES;5664;CONCHALI;1;0;9
6936253;2;Juan Sebastían;Aravena;Carrasco;29;10;1988;LAS PARCELAS;9263;PEÑALOLEN;1;0;3
17960263;6;Macarena Alejandra;Silva;Martinez;12;1;2004;AV. EL VALLE;5095;PEÑALOLEN;1;0;12
18243828;6;Alejandro Andrés;Martinez;Antiquera;21;7;1988;AV. CRISTOBAL COLON;2603;LAS CONDES;1;0;9
17315925;0;Gabriela Adriana;Riquelme;Arratia;8;5;2000;CALLE;4830;PEÑALOLEN;1;0;10
16407452;8;Elena del Cármen;Gutiérrez;Landeros;1;10;1965;AV. CONSISTORIAL;8836;PEÑALOLEN;1;0;6
18115722;4;Magdalena Paz;Nuñez;Rivera;12;1;2001;FLORENCIO BARROS;7693;LAS CONDES;1;0;13
22185005;k;Renata Mariel;Lagos;Faúndez;10;5;2001;CHEPICA;8847;CONCHALI;1;0;3
20201176;4;Pamela Elizabeth;-;Figueroa;18;10;1953;GRAL. GAMBINO;707;CONCHALI;1;0;2
18904477;1;Diego Ignacio;Morales;Díaz;28;4;2001;SEBASTIAN ELCANO;2814;LAS CONDES;1;0;1
22773005;6;Nicolas Alexander;Parez;Ortega;14;11;2006;VIOLETA PARRA;9603;PEÑALOLEN;1;0;12
16357680;5;Gaspar Patricio;Vidal;Espinoza;27;3;1990;AV. CARDENAL JOSE MARIA CARO;9396;CONCHALI;1;1;7
20300267;k;Benjamin Alejandro;Guzman;Echeverria;1;8;1989;EL PARQUE;4378;PEÑALOLEN;1;0;9
17280820;8;Jaime Andrés;Campusano;Azulas;11;12;2000;EL ABANICO;9577;PEÑALOLEN;1;0;3
15313172;6;Amelia;Yañez;Osses;20;12;1988;LATADIA ESQ. MANQUEHUE;8014;LAS CONDES;1;0;10
19383538;4;Manuel Alejandro;Ortíz;Diaz;14;11;2000;LAGO YULTAN;6814;PEÑALOLEN;1;0;11
19184977;9;Camila Alejandra;González;Soza;14;8;2000;LAGO PARINACOTA;7661;MACUL;0;0;12
21868885;3;Benjamin Alexander;Herrera;Salinas;16;6;2005;RAMON CRUZ MONTT;966;MACUL;1;0;9
16941919;1;Javiera Paz;López;Ramos;19;3;2000;PJE. N;3751;PEÑALOLEN;1;0;15
21076429;1;Horacio Andres;Olivares;Torres;21;9;2000;DEL GRANITO;9704;CONCHALI;1;0;15
20599370;3;Constanza Javiera;Gorziglia;Contreras;1;9;2002;COOPERACION;3474;PEDRO AGUIRRE CERDA;0;0;11
16623102;7;Loreto Pilar;Muñoz;Vergara;13;10;2003;LOS BAQUEANOS;5090;PEÑALOLEN;1;0;10
19419944;9;Maria Fernanda;Correa;Peña;9;10;1999;AV. EL SALTO;5980;RECOLETA;1;0;14
21713504;4;Isabel Cristina;Aravena;Alarcón;22;2;1998;COYHAIQUE;6223;RENCA;0;0;9
15935330;3;Dacar Yuri;Carrizo;Díaz;9;1;1991;STA. ANSELMA;472;LA CISTERNA;1;0;1
21550699;1;Valentina antonella;Menna;Caulfucura;5;11;2007;NUEVA DE MATTE;4114;INDEPENDENCIA;1;1;13
27245328;4;Matías Maximiliano;Lagos;Rodríguez;12;11;1994;PADRE FAUSTINO GAZZIERO;7401;INDEPENDENCIA;1;0;15
18478935;3;Fernanda Elisa;Silva;Díaz;21;7;2005;PERNAS;3018;RECOLETA;1;0;5
145457048;9;Angelina Paz;Acevedo;Flores;18;8;1994;JUAN CRISTOBAL;1020;RECOLETA;1;0;14
15788603;7;Denisse Andrea;González;Coliqueo;22;2;1999;ZEUS;7019;RENCA;1;1;1
20828217;4;Carlos Gabriel;Hidalgo;Toro;19;2;1985;AV. EL PARRON;7818;LA CISTERNA;1;0;3
16928762;7;Matías Ignacio;Saavedra;Garrido;24;1;1986;PJE. LAGUNAS;9180;RENCA;1;0;8
20284376;k;Daniela Fernanda;Valdez;Díaz;12;11;2002;LORETO;2272;RECOLETA;1;0;11
20224161;1;Marcelo Pablo;Bahamonde;Carreño;14;3;2003;BRASIL;5254;RENCA;1;0;10
21542330;1;Carla Andrea;Tobar;Arros;13;8;1987;GRAN AVENIDA JOSE MIGUEL CARRERA;2569;LA CISTERNA;1;1;1
20466765;9;Matias Pablo;-;Valderrama;10;5;1991;SALAR;2220;RENCA;1;0;5
21166967;5;Santiago Andrés;Bastías;Cubillos;4;9;1997;AV. INDEPENDENCIA;5475;INDEPENDENCIA;1;0;13
16695863;6;Felipe Ignacio;Díaz;Bustos;8;3;1990;SANTOS DUMONT;8917;RECOLETA;1;0;6
22279591;5;Julio Hernán;Urrutia;Pinto;29;7;1995;VICUNA MACKENNA;1557;LA CISTERNA;1;0;8
17381130;6;Marjorie Elizabeth;Tello;Rajal;26;11;1982;ROUGET DE LISLE;390;INDEPENDENCIA;1;0;3
16739959;2;Franco Alejandro;Quinteros;Moreno;16;2;1991;VENECIA;3693;RENCA;1;0;2
